rank,date,sector,ticker,ml_predicted_outperform_probability,ml_model_confidence,ml_signal_label,ml_model_status,ml_classifier_model,ml_feature_set,data_readiness_status,short_explanation,market_last_date,price_data_status,trend_data_status,trend_refresh_mode,trend_provider,trend_source_detail,sentiment_data_status,momentum_21,momentum_63,momentum_126,volatility_20,downside_volatility_20,drawdown_current,distance_to_ma_200,risk_adjusted_return_63,volume_momentum_20,relative_strength_vs_spy_63,relative_strength_vs_spy_126,trailingPE,forwardPE,priceToBook,dividendYield,beta,marketCap
1,2026-07-01,Technology,XLK,0.691894216894217,38.378843378843406,High outperformance probability,trained,RandomForestClassifier,market_fundamental,Ready for ML inference,High outperformance probability. Current model ranking is based on market/fundamental features; Google Trends are not active.,2026-07-01,db,not_used,auto,disabled_by_mode,Google Trends disabled in market/fundamental mode,not_used,-0.04423778425789604,0.4078255432370266,0.28264901875951387,0.43740104395479146,0.0,-0.056051663558993714,0.23558134686686705,0.9323835616614996,0.29307339065620447,0.25620488881486847,0.19382873249543708,37.285065,,1.2527201,0.4,,
2,2026-07-01,Materials,XLB,0.5979704405072054,19.594088101441077,High outperformance probability,trained,RandomForestClassifier,market_fundamental,Ready for ML inference,High outperformance probability. Current model ranking is based on market/fundamental features; Google Trends are not active.,2026-07-01,db,not_used,auto,disabled_by_mode,Google Trends disabled in market/fundamental mode,not_used,0.00873926797964586,0.027916758528829355,0.12297769553095805,0.2279085086086362,0.0,-0.042055152897010784,0.06356163488606859,0.12249107635015034,0.40133993310166877,-0.12370389589332875,0.03415740926688127,25.948408,,0.649253,1.71,,
3,2026-07-01,Utilities,XLU,0.5957336495204141,19.146729904082814,High outperformance probability,trained,RandomForestClassifier,market_fundamental,Ready for ML inference,High outperformance probability. Current model ranking is based on market/fundamental features; Google Trends are not active.,2026-07-01,db,not_used,auto,disabled_by_mode,Google Trends disabled in market/fundamental mode,not_used,0.04187935891133665,-0.021464384908528755,0.04771344236638675,0.14500889922420543,0.0,-0.059187110622944905,0.004876664890148152,-0.14802115610395475,0.5481644592198729,-0.17308503933068686,-0.04110684389769004,20.664726,,0.7017502,2.68,,
4,2026-07-01,Communication Services,XLC,0.5413342791467792,8.266855829355846,Unclear model signal,trained,RandomForestClassifier,market_fundamental,Ready for ML inference,Unclear model signal. Current model ranking is based on market/fundamental features; Google Trends are not active.,2026-07-01,db,not_used,auto,disabled_by_mode,Google Trends disabled in market/fundamental mode,not_used,-0.0475305139483756,-0.006720212362261724,-0.06595132382841973,0.2049666037051615,0.0,-0.08298637421163035,-0.04349321658370975,-0.0327868649857152,0.6762747246266924,-0.15834086678441983,-0.15477161009249651,16.751333,,,1.21,,
5,2026-07-01,Financials,XLF,0.5181042221667223,3.62084443334445,Unclear model signal,trained,RandomForestClassifier,market_fundamental,Ready for ML inference,Unclear model signal. Current model ranking is based on market/fundamental features; Google Trends are not active.,2026-07-01,db,not_used,auto,disabled_by_mode,Google Trends disabled in market/fundamental mode,not_used,0.06912308543809242,0.11373307271514732,-0.006055659550265657,0.16461652002027774,0.0,-0.025088668036260198,0.04607755266917768,0.6908970782588375,0.45049228253618145,-0.03788758170701079,-0.09487594581434244,17.346087,,1.6162508,1.54,,
6,2026-07-01,Healthcare,XLV,0.5161845256876092,3.2369051375218394,Unclear model signal,trained,RandomForestClassifier,market_fundamental,Ready for ML inference,Unclear model signal. Current model ranking is based on market/fundamental features; Google Trends are not active.,2026-07-01,db,not_used,auto,disabled_by_mode,Google Trends disabled in market/fundamental mode,not_used,0.07920729845733887,0.08826138999751576,0.024003629752690214,0.1980866671361165,0.0,-0.007403274858397757,0.06302639052296577,0.44556956444154006,0.4068075954970468,-0.06335926442464235,-0.06481665651138657,25.733807,,1.253772,1.68,,
7,2026-07-01,Real Estate,XLRE,0.5001075687298597,0.021513745971946108,Unclear model signal,trained,RandomForestClassifier,market_fundamental,Ready for ML inference,Unclear model signal. Current model ranking is based on market/fundamental features; Google Trends are not active.,2026-07-01,db,not_used,auto,disabled_by_mode,Google Trends disabled in market/fundamental mode,not_used,0.025537312931506184,0.08682336541677649,0.09217324227007428,0.19498096299254913,0.0,-0.14350513754519778,0.04854559111454382,0.44529149966345327,0.6254619862749071,-0.06479728900538162,0.0033529560059974983,32.68801,,,3.18,,
8,2026-07-01,Consumer Staples,XLP,0.4977323486698486,0.4535302660302776,Unclear model signal,trained,RandomForestClassifier,market_fundamental,Ready for ML inference,Unclear model signal. Current model ranking is based on market/fundamental features; Google Trends are not active.,2026-07-01,db,not_used,auto,disabled_by_mode,Google Trends disabled in market/fundamental mode,not_used,0.013409709746316834,0.01402773663569401,0.06195705863250223,0.17485549604854106,0.0,-0.07643600399430706,0.017557202060227484,0.08022473958610839,0.38471193264622083,-0.1375929177864641,-0.02686322763157456,25.016304,,1.2193261,2.62,,
9,2026-07-01,Consumer Discretionary,XLY,0.450012999663735,9.997400067253004,Unclear model signal,trained,RandomForestClassifier,market_fundamental,Ready for ML inference,Unclear model signal. Current model ranking is based on market/fundamental features; Google Trends are not active.,2026-07-01,db,not_used,auto,disabled_by_mode,Google Trends disabled in market/fundamental mode,not_used,0.004315039312134505,0.08919061563499375,-0.017790662416427794,0.2393290449077965,0.0,-0.0467394784109022,0.009640252938814875,0.37266941699180384,0.4833539991376111,-0.062430038787164355,-0.10661094868050458,29.579721,,0.70658964,0.74,,
10,2026-07-01,Energy,XLE,0.4232638773263776,15.347224534724479,Unclear model signal,trained,RandomForestClassifier,market_fundamental,Ready for ML inference,Unclear model signal. Current model ranking is based on market/fundamental features; Google Trends are not active.,2026-07-01,db,not_used,auto,disabled_by_mode,Google Trends disabled in market/fundamental mode,not_used,-0.07373470384600711,-0.13361080285431026,0.18948906395004128,0.21223117873395742,0.0,-0.15161445655595895,0.03477438326961502,-0.6295531299941476,0.33838062425317367,-0.28523145727646837,0.1006687776859645,19.83351,,1.0184208,2.65,,
